Description,Price,Review,Rating,Url
Apple 2023 MacBook Pro Laptop M2 Max chip with 12‑,349900,0,N/A,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDU3NjczODIxNzk0MTA6MTY3OTAyODc3MjpzcF9idGY6MjAxMTQxOTgyNTQ5OTg6OjA6Og&url=%2FApple-MacBook-Laptop-12%25E2%2580%2591core-38%25E2%2580%2591core%2Fdp%2FB0BSHVCXN9%2Fref%3Dsr_1_38_sspa%3Fkeywords%3Dlaptop%26qid%3D1679028772%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
Lenovo IdeaPad Slim 3 Intel Core i3-1115G4 11th Ge,33275,94,4.0,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDUyMDc2MTM4NDQyMzAyOjE2NzkwMjg3NzM6c3BfYXRmX25leHQ6MjAxMTAyMjE3OTI3OTg6OjA6Og&url=%2FLenovo-i3-1115G4-Warranty-Platinum-81X800LCIN%2Fdp%2FB0B9YHX39M%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Dlaptop%26qid%3D1679028773%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
LG Gram14 Intel EVO-[12th Gen Corei7/Win11/16GB/51,93490,52,4.1,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDUyMDc2MTM4NDQyMzAyOjE2NzkwMjg3NzM6c3BfYXRmX25leHQ6MjAxMTI0NDYwMDU1OTg6OjA6Og&url=%2FLG-Graphics-Thunderbolt4-Battery-Warranty%2Fdp%2FB0B4V8KWSG%2Fref%3Dsr_1_34_sspa%3Fkeywords%3Dlaptop%26qid%3D1679028773%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
ASUS Rog Strix Scar 15,264990,1,4.0,https://www.amazon.in/I9-12900H-Graphics-Windows-Office-2021-G533Zw-Ln106Ws/dp/B09TPHM8WK/ref=sr_1_35?keywords=laptop&qid=1679028773&sr=8-35
HP 247 G8 Laptop,28850,224,3.6,https://www.amazon.in/HP-247-G8-Warranty-67U77PA/dp/B09RMP6MM7/ref=sr_1_36?keywords=laptop&qid=1679028773&sr=8-36
(Renewed) HP Chromebook 13 G1 6th Gen Intel Core m,13999,0,N/A,https://www.amazon.in/Renewed-HP-Chromebook-Bluetooth-Graphics/dp/B0BXH2KPVS/ref=sr_1_37?keywords=laptop&qid=1679028773&sr=8-37
"HP 15s-Ryzen 3 3250U 8GB SDRAM/256GB SSD 15.6""",32729,128,3.4,https://www.amazon.in/HP-15s-Ryzen-Graphics-15s-ey1508AU-CreditCard/dp/B0BJ2LZXD9/ref=sr_1_38?keywords=laptop&qid=1679028773&sr=8-38
Acer One 14 Business Laptop AMD Athlon 3045 B Proc,23890,83,3.5,https://www.amazon.in/Acer-Business-Processor-Graphics-Windows/dp/B0BMQBX6SZ/ref=sr_1_39?keywords=laptop&qid=1679028773&sr=8-39
(Renewed) HP Ultra Beautiful Laptop 348G4 Intel Co,22990,0,N/A,https://www.amazon.in/HP-Beautiful-Mobile-7th-Processor-14Inches/dp/B0BX6YXQJW/ref=sr_1_40?keywords=laptop&qid=1679028773&sr=8-40
"ASUS VivoBook, 14-inch HD, Intel Core i3 1005G1 10",30590,66,2.9,https://www.amazon.in/ASUS-VivoBook-14-inch-Fingerprint-X415JA-BV301WS/dp/B09ZLL1M8Y/ref=sr_1_41?keywords=laptop&qid=1679028773&sr=8-41
(Renewed) Dell Latitude Laptop E7470 Intel Core I5,20345,365,3.3,https://www.amazon.in/Renewed-Dell-Latitude-Laptop-E7470/dp/B08XWFRG1Z/ref=sr_1_42?keywords=laptop&qid=1679028773&sr=8-42
Apple 2022 MacBook Pro Laptop with M2 chip: 33.74 ,129900,16,4.3,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDUyMDc2MTM4NDQyMzAyOjE2NzkwMjg3NzM6c3BfbXRmOjIwMDU2MTc2MTM0NDk4OjowOjo&url=%2F2022-Apple-MacBook-Laptop-chip%2Fdp%2FB0B3B5BWCT%2Fref%3Dsr_1_43_sspa%3Fkeywords%3Dlaptop%26qid%3D1679028773%26sr%3D8-43-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Samsung Galaxy Book2,62790,93,4.1,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDUyMDc2MTM4NDQyMzAyOjE2NzkwMjg3NzM6c3BfbXRmOjIwMDY1ODgzNjQ1Mzk4OjowOjo&url=%2FSamsung-Windows-Backlit-Keyboard-NP750XED-KC1IN%2Fdp%2FB09Z216R5Q%2Fref%3Dsr_1_44_sspa%3Fkeywords%3Dlaptop%26qid%3D1679028773%26sr%3D8-44-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"ASUS VivoBook 17, Intel Core i5-1135G7 11th Gen, 1",51990,5,4.1,https://www.amazon.in/ASUS-X712EA-AU511TS-i5-1135G7-Transparent-International/dp/B09MDF9YZ4/ref=sr_1_45?keywords=laptop&qid=1679028773&sr=8-45
Acer Predator Helios 500 Gaming Laptop,432159,6,4.1,https://www.amazon.in/Acer-Predator-Graphics-Keyboard-Ph517-52/dp/B09W99QWTD/ref=sr_1_46?keywords=laptop&qid=1679028773&sr=8-46
"Dell Vostro 3420 Laptop,12th Gen Intel Core i5-123",56990,7,4.3,https://www.amazon.in/Dell-Vostro-i5-1235U-35-56Cms-293420GT2FWO2MC2IN/dp/B0BQJ7NMVM/ref=sr_1_47?keywords=laptop&qid=1679028773&sr=8-47
"ASUS VivoBook 14, Intel Core i3-1115G4 11th Gen, 1",38219,210,4.1,https://www.amazon.in/ASUS-i3-1115G4-Integrated-X415EA-EK322WS-CreditCard/dp/B0BNHH8L9L/ref=sr_1_48?keywords=laptop&qid=1679028773&sr=8-48
HP OMEN-12th Gen Intel Core i7 16.1-inch,163990,9,3.7,https://www.amazon.in/HP-12th-16-1-inch-Gaming-Backlight-16-B1370TX/dp/B09VCCWD25/ref=sr_1_49?keywords=laptop&qid=1679028773&sr=8-49
"HP Pavilion Laptop 15,12th Gen Intel Core i5-1240P",72490,0,N/A,https://www.amazon.in/HP-Pavilion-i5-1240P-Graphics-15-eg2091TU/dp/B0BSL766TD/ref=sr_1_50?keywords=laptop&qid=1679028773&sr=8-50
"Lenovo V15 AMD Ryzen 3 5300U 15.6""",32990,1,4.0,https://www.amazon.in/Lenovo-39-62cm-Antiglare-Warranty-82KDA01UIH/dp/B0BRNKG81R/ref=sr_1_51?keywords=laptop&qid=1679028773&sr=8-51
Lenovo V14-IGL Laptop Intel Celeron N4020/4GB DDR4,19999,2,2.5,https://www.amazon.in/Lenovo-V14-IGL-Celeron-Graphics-Warranty/dp/B096W32J51/ref=sr_1_52?keywords=laptop&qid=1679028773&sr=8-52
