Description,Price,Review,Rating,Url
HP 15s Intel Core i3 11th Gen ,39490,48,4.2,https://www.flipkart.com//hp-15s-intel-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-15s-fr2511tu-thin-light-laptop/p/itm89ae6cdc52fdc?pid=COMGG3S9ZPRYMXS5&lid=LSTCOMGG3S9ZPRYMXS5I5YSF2&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_31&otracker=search&iid=9fadefde-753b-4101-8315-8f9fb5c46827.COMGG3S9ZPRYMXS5.SEARCH&ssid=j3gb01i3b40000001679028789710&qH=312f91285e048e09
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U ,45990,186,4.3,https://www.flipkart.com//lenovo-ideapad-3-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-15alc6-thin-light-laptop/p/itm790def6ef6b6f?pid=COMG9VHHF6HVJPP9&lid=LSTCOMG9VHHF6HVJPP9U213LU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_32&otracker=search&iid=en_z%2BdkiFEQAQtiJ4ucWxVKjcMSH5H5h6xVl4wf9rS3Yvx8%2FEJRvWJv4smi5zlhJbiJMWKisRa%2FYuQTUzHVXP9aTA%3D%3D&ssid=j3gb01i3b40000001679028789710&qH=312f91285e048e09
HP Victus Ryzen 5 Hexa Core 5600H ,57990,4,4.3,https://www.flipkart.com//hp-victus-ryzen-5-hexa-core-5600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-144-hz-15-fb0888ax-gaming-laptop/p/itm200db46600976?pid=COMGHYYKRF3H6DGB&lid=LSTCOMGHYYKRF3H6DGBO58MU6&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_33&otracker=search&iid=9fadefde-753b-4101-8315-8f9fb5c46827.COMGHYYKRF3H6DGB.SEARCH&ssid=j3gb01i3b40000001679028789710&qH=312f91285e048e09
HP 14s Intel Core i3 11th Gen ,40990,335,4.2,https://www.flipkart.com//hp-14s-intel-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-dy2508tu-thin-light-laptop/p/itm49f4531237a12?pid=COMGGTT4VFWG3FFM&lid=LSTCOMGGTT4VFWG3FFMB7VNLU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_34&otracker=search&iid=9fadefde-753b-4101-8315-8f9fb5c46827.COMGGTT4VFWG3FFM.SEARCH&ssid=j3gb01i3b40000001679028789710&qH=312f91285e048e09
DELL Inspiron Core i5 11th Gen ,49990,0,3.9,https://www.flipkart.com//dell-inspiron-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-3511-thin-light-laptop/p/itmfc00129bfb0c7?pid=COMGF478XMB8URCH&lid=LSTCOMGF478XMB8URCHJHKSDC&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_35&otracker=search&iid=9fadefde-753b-4101-8315-8f9fb5c46827.COMGF478XMB8URCH.SEARCH&ssid=j3gb01i3b40000001679028789710&qH=312f91285e048e09
RedmiBook Pro Core i5 11th Gen ,39990,,,https://www.flipkart.com//redmibook-pro-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itm436427e982703?pid=COMG4Z359A4Z3MFG&lid=LSTCOMG4Z359A4Z3MFGOJQLGB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_36&otracker=search&iid=en_z%2BdkiFEQAQtiJ4ucWxVKjcMSH5H5h6xVl4wf9rS3YvyZYFjtBTO5KoLatrMmleeuRDCkPIKXveh5fS0JKmLCDg%3D%3D&ssid=j3gb01i3b40000001679028789710&qH=312f91285e048e09
HP Ryzen 3 Quad Core R3 3250 ,31990,,,https://www.flipkart.com//hp-ryzen-3-quad-core-r3-3250-8-gb-512-gb-ssd-windows-11-home-255-g8-business-laptop/p/itmda19d55e0c8c5?pid=COMGNFU7MHGWNHHA&lid=LSTCOMGNFU7MHGWNHHAOI3E5K&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_37&otracker=search&iid=9fadefde-753b-4101-8315-8f9fb5c46827.COMGNFU7MHGWNHHA.SEARCH&ssid=j3gb01i3b40000001679028789710&qH=312f91285e048e09
acer Extensa Core i3 11th Gen ,34990,85,4.2,https://www.flipkart.com//acer-extensa-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-ex-215-54-215-54-356v-thin-light-laptop/p/itma0e47f328b15d?pid=COMGGYEBDUJ4PYS9&lid=LSTCOMGGYEBDUJ4PYS9H9GDDB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_38&otracker=search&iid=9fadefde-753b-4101-8315-8f9fb5c46827.COMGGYEBDUJ4PYS9.SEARCH&ssid=j3gb01i3b40000001679028789710&qH=312f91285e048e09
ASUS VivoBook 14 Pentium Silver ,25990,31,4.1,https://www.flipkart.com//asus-vivobook-14-pentium-silver-4-gb-256-gb-ssd-windows-11-home-x415ka-ek111ws-thin-light-laptop/p/itmeed292d4767e4?pid=COMGB6DZNPPJHUVV&lid=LSTCOMGB6DZNPPJHUVV0C5AXS&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_39&otracker=search&iid=9fadefde-753b-4101-8315-8f9fb5c46827.COMGB6DZNPPJHUVV.SEARCH&ssid=j3gb01i3b40000001679028789710&qH=312f91285e048e09
Lenovo Yoga Slim 7 Pro Core i5 11th Gen ,69990,,,https://www.flipkart.com//lenovo-yoga-slim-7-pro-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-home-14ihu5-thin-light-laptop/p/itmaeae9b77d73f9?pid=COMGH3UFDF63TZYW&lid=LSTCOMGH3UFDF63TZYWF1KPOM&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_40&otracker=search&iid=en_z%2BdkiFEQAQtiJ4ucWxVKjcMSH5H5h6xVl4wf9rS3YvxuB65BPnK5g4t8Ec%2FIg4GCQ0%2BSJvVRtw%2Bc5VHxaJkwzg%3D%3D&ssid=j3gb01i3b40000001679028789710&qH=312f91285e048e09
MSI Core i5 11th Gen ,59990,23,4.4,https://www.flipkart.com//msi-core-i5-11th-gen-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-max-q-144-hz-gf63-thin-11sc-853in-gaming-laptop/p/itm0d8eb0874d9fe?pid=COMGEY8WNGQNKE5G&lid=LSTCOMGEY8WNGQNKE5GODBFR4&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_41&otracker=search&iid=9fadefde-753b-4101-8315-8f9fb5c46827.COMGEY8WNGQNKE5G.SEARCH&ssid=j3gb01i3b40000001679028789710&qH=312f91285e048e09
